image_path,crop,disease,label
datasets\Potato_EarlyBlight\0a6983a5-895e-4e68-9edb-88adf79211e9___RS_Early.B 9072.JPG,potato,earlyblight,1
datasets\Tomato_Healthy\1317fd49-1819-4065-b3a4-d74f9763c7c4___RS_HL 0252.JPG,tomato,healthy,0
datasets\Tomato_Healthy\02b4afdf-e1de-4c0e-a38d-3f19afeb9ea9___RS_HL 0493.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\60006156-5cb7-4bae-ad51-8e4a3401e298___JR_HL 7848.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\adbfa5e7-23a5-4df0-9cae-1e54115619cb___NREC_B.Spot 1786.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\86bf0a52-7986-4391-884a-b4a6f1b1e8e3___JR_HL 5866.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\c2313033-b139-487e-92c2-86b8c8f91d8e___JR_HL 8902.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\6b3bf816-2c6b-4a71-93a3-9815bea001a6___JR_HL 7935.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\5a7de071-ba6b-4a06-a3d4-eab0abdc6ecf___GH_HL Leaf 398.1.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\f2b739b9-a463-4ee1-96bf-b5cfe6acb66d___JR_HL 5844.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\62c9e613-b9ae-4be2-9000-2bc800549baa___RS_HL 9625.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\79b51b11-8ce2-4166-be8c-699522bacbd0___JR_B.Spot 8968.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\aca65de6-6464-4f8c-803d-b55f92f950f8___RS_Erly.B 6663.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\a4980e0e-157e-4ad9-9cd8-ad3f37e9b8ca___JR_HL 8197.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\de55360c-0b01-4556-b98e-d412ce6f8e49___JR_HL 8264.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\843ef0a7-5eed-45b5-98b4-4c2fc94084cf___JR_HL 7922.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\0b796b7a-dfc8-47f7-9970-8373263c6408___JR_HL 5948.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\03a4f6f6-9c17-4310-921b-5dbf97df630a___JR_HL 8571.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\85656232-738b-4a83-ab54-cfa6ecff99f1___RS_HL 0477.JPG,tomato,healthy,0
datasets\Potato_EarlyBlight\16a6f216-6d2a-48fe-b8bc-ff385c96d0d3___RS_Early.B 7220.JPG,potato,earlyblight,1
datasets\Tomato_Healthy\9ee73ce8-ea9e-4a76-8b41-39500bdf3514___RS_HL 0110.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\e7ec8fef-daec-4f8f-93b1-67d40ec68cae___JR_B.Spot 8850.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\188f102a-6f64-4180-9d38-f98b61aaec60___JR_B.Spot 9014.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\8a13da5b-4bc2-485a-962d-df8c6634ea00___RS_Erly.B 7519.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\7a4be7ca-f56e-483e-b4e3-cf5ed0759a42___JR_HL 8078.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\4283992b-ab8a-41aa-baeb-17a5b0f75af1___RS_Erly.B 7621.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\7627db62-eca7-44fd-8b81-b818575821aa___GH_HL Leaf 356.1.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\1b09df7a-eb13-4192-b211-900898ab21b4___JR_HL 8533.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\d44e4a80-d921-4792-8a5f-121c84951a7b___JR_HL 8309.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\28d03063-a772-4136-80fd-3bbff0fffa41___RS_Erly.B 7370.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\1bf8d046-2b1c-44bf-9a00-9f16e0971d2a___JR_HL 8281.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\d93d572c-d016-4c57-a9b2-af77c3521405___JR_B.Spot 3336.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\ad4ccae1-2313-4ca6-9486-88caef4bd7ba___JR_HL 8603.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\f459c3ee-91f9-42e4-8a61-8c2b6ba9a435___RS_Erly.B 9522.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\b0c34863-3cd0-4699-86ea-3999a3350099___JR_HL 7563.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\4d035250-f831-438b-a583-d192cbb26a55___JR_B.Spot 3163.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\8bd00ab3-c739-4483-99f5-5d1d5f67386e___NREC_B.Spot 9163.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\c0f45b4c-fd37-4555-8e2f-4ab0f2622e6c___JR_HL 8546.JPG,bellpepper,healthy,0
datasets\Potato_EarlyBlight\0ddd62cd-a999-4d58-a8f1-506e1004a595___RS_Early.B 8041.JPG,potato,earlyblight,1
datasets\BellPepper_BacterialSpot\c9cc28e5-a5c4-46b9-bd18-c7ffaadfdac0___NREC_B.Spot 9077.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\6b53630d-c9df-4e67-a490-b1835772d9a0___GH_HL Leaf 450.2.JPG,tomato,healthy,0
datasets\Tomato_Healthy\81382c17-1a00-4597-87e4-2e674d38d6d2___GH_HL Leaf 269.1.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\09035eae-2a1c-4718-8877-5270a1fe8462___JR_B.Spot 3280.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\38f54137-3e02-48fb-9fc1-0d444a13c40b___GH_HL Leaf 456.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\4396fc84-fea6-4cfd-a352-01241e44efda___NREC_B.Spot 1927.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\7ce1f8c1-1542-4d7b-be27-11e29d572283___GH_HL Leaf 508.2.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\65b2d5c2-a737-43cf-b83f-dfa749c1d143___JR_HL 5862.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\4d42924a-13e0-4e26-b131-2125e154c542___NREC_B.Spot 9220.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\8ee7fa28-296c-4cf0-970b-d2015b1b75e8___GH_HL Leaf 327.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\5bd6338a-0f10-457b-a7bd-69f2ee7c6504___RS_Erly.B 9534.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\188107b9-d61f-4084-94da-4d5f8d9eedc1___RS_HL 0553.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\c2bb8562-98b3-4364-87c6-39c80e3d5219___JR_HL 8185.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\268590f4-68f6-4de9-968e-a7465b377db4___RS_Erly.B 7614.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\45167988-3f78-4309-8ce2-633d7521847f___GH_HL Leaf 432.1.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\f0763973-1898-4ae6-9350-c9b61976c600___RS_Erly.B 6456.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\ffa3b1df-49c6-4fd2-9ec5-1ca5eb175797___JR_B.Spot 3254.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\5c7dc582-9234-4b2b-88d8-0ece8dd19a80___JR_HL 8585.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\3c02c8e5-b648-40ad-b119-0d9f66fc2b6c___JR_HL 8146.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\141bbdef-ba38-49ed-9d6f-fe8d9de38e6f___RS_Erly.B 9579.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\f822e8d5-6cb7-40ad-a6ce-b92105e7ce03___JR_HL 7905.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\95e9a8bc-0e29-4afc-b563-9940a633bab5___JR_HL 7933.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\52232f20-1d2d-4545-9a5c-76ed0f608bd2___RS_Erly.B 6445.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\08203033-de6c-41fc-b5d2-ea5d3ac9da4f___JR_HL 5854.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\b39dd01c-b297-4d3f-ad79-c06a488a99cd___JR_HL 8268.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\4d20e159-894a-4718-a9f8-e866e7c5a3d9___JR_B.Spot 9025.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\1ade72cf-f7e0-4282-92d9-614bf05289a0___NREC_B.Spot 1975.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\7cd27862-7a89-4ffc-bc08-7dfbb24f76d9___RS_Erly.B 7560.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\f73f0a24-d25e-4a0c-9e68-3b57d467090d___JR_B.Spot 8829.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\065cd824-d515-49f6-a68a-c1b6dd313472___RS_HL 0139.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\e3b74c49-7e82-4094-8a02-5ae7644a1d00___RS_Erly.B 7393.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\62fa284f-8fc8-46b7-a74d-71bada562464___RS_HL 0303.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\3c3ae39d-c397-4ad0-a95f-88d46cd15427___JR_HL 8210.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\7091bed6-6885-4ab2-8ee4-fa67a8b2f895___JR_HL 7798.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\aa8464ce-ba3c-4c40-8e3f-75b0ef3658bd___JR_HL 6005.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\9cde7a11-a044-4ca6-b1f1-4507b867f915___JR_HL 8580.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\e825c445-4b5b-4642-8d83-6db23c5d8348___JR_B.Spot 3341.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\3c237d3f-7242-4009-a08a-b4eb7cd662fc___NREC_B.Spot 1969.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\147582b1-0d36-4409-8810-1fd5d4304388___JR_HL 5977.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\f33fb36e-18f9-4b55-a03c-c896e5c23186___JR_HL 5962.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\3688ae98-5f85-4df3-a51f-07ad8707d5a5___JR_HL 8751.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\0f065614-a53a-4c83-9d29-5d3e4ab5b41d___RS_Erly.B 7676.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\6b0af08c-3f98-4077-94ab-5a35527fbf08___JR_HL 7589.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\b559ff8f-efd7-4897-8596-69447c2e6b89___RS_Erly.B 6409.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\5c81bfc2-d377-4fc8-9f51-ff26a997c20b___RS_Erly.B 6345.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\bac5677d-59b4-4183-839f-24860287ed6a___RS_Erly.B 9503.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\cfbbeb79-9aba-4011-ba99-470509286459___JR_HL 5826.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\8db2e3c6-c5d9-41ec-9977-7b1a71964f24___GH_HL Leaf 501.2.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\8e6e9efb-4150-491b-a60e-bee4024d6791___JR_HL 5919.JPG,bellpepper,healthy,0
datasets\Potato_Healthy\1106c3fc-92cb-41a6-a6c6-8f08b9b45108___RS_HL 1914.JPG,potato,healthy,0
datasets\BellPepper_BacterialSpot\4eac0e27-27a7-49ad-80d7-6475aa904154___NREC_B.Spot 1896.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\357afd4d-f9d0-433b-8082-d9318a7f674a___NREC_B.Spot 9134.JPG,bellpepper,bacterialspot,1
datasets\Potato_EarlyBlight\1d4fc5d0-fee6-40bf-8e7b-e1598ea64161___RS_Early.B 8912.JPG,potato,earlyblight,1
datasets\BellPepper_Healthy\eed1b6d4-c01c-4b3f-8aba-77ebc730b2f9___JR_HL 7907.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\eb92da7b-8c89-4353-958c-960fd5917d9f___JR_HL 7900.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\922d8646-efa3-4101-b943-d3568c9760e9___RS_HL 0029.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\37829073-ac95-4e17-a0d2-56bfb8358ebf___JR_HL 7819.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\0efa6329-22f4-4bf0-a67a-17b0d5e4d2f2___NREC_B.Spot 9145.JPG,bellpepper,bacterialspot,1
datasets\Potato_EarlyBlight\37d5791e-19e8-4095-a1cd-36aede6d0802___RS_Early.B 7172.JPG,potato,earlyblight,1
datasets\Tomato_Healthy\8a9afef1-d6fb-4ea5-a386-2236521b2a32___GH_HL Leaf 234.JPG,tomato,healthy,0
datasets\Tomato_Healthy\709ca1e9-9c0f-4ebb-a3c1-529675210010___GH_HL Leaf 310.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\a8b2bbbc-5bef-4ef4-8322-48cde639a9aa___RS_Erly.B 7438.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\1006c73b-19f8-4771-9fe5-3fc4908e8da3___RS_HL 0557.JPG,tomato,healthy,0
datasets\Tomato_Healthy\541d6033-1cc7-4c86-a37b-423bc08d25a7___RS_HL 9973.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\51e49986-3954-472f-8504-a95452b0fc88___JR_HL 7666.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\872ec950-8238-4f73-a366-f72f2f92d3fe___RS_Erly.B 7487.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\2fefe600-7bb1-4edd-86e7-0847c9e0e33c___JR_HL 8750.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\a7766fc4-117e-4e48-bc2d-e2639512ad69___JR_HL 7957.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\c66fe682-9e42-4343-a4d4-add4d6244859___NREC_B.Spot 9131.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\06040967-7b02-43b5-a3fc-4490a9a7ded6___RS_HL 0508.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\90b246e8-9cf6-440f-a867-3c32a697f284___JR_HL 8041.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\87a97810-bd20-4f2f-8a20-1953664f8576___JR_HL 7602.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\821fa2f8-b221-472d-a789-f0c42923f52a___JR_B.Spot 9046.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\65b9d788-d9e2-47d7-a5ca-2ca5a9f47cae___RS_HL 9710.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\197fdd19-46d1-46f7-8e79-aa9545f76ff0___JR_B.Spot 9000.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\9e0cd9db-f893-4426-b195-5643b55e0a8d___RS_HL 0379.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\cdc03013-24a2-4b69-8cbe-f1acfb0272a8___JR_B.Spot 3345.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\53bb67c4-0fef-4f13-b4a3-206d06155ffc___RS_Erly.B 6434.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\0ade14b6-8937-43ea-93eb-98343af6bae7___JR_HL 8026.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\e20fb98a-26f9-43a1-8d55-e1daa9b6a455___RS_Erly.B 7351.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\2763797b-4786-41ef-8ff1-73b088f9973c___GH_HL Leaf 231.JPG,tomato,healthy,0
datasets\Tomato_Healthy\0fee8af3-ca03-418c-a71c-c4fb0a80dc7b___RS_HL 0199.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\8631f961-c7d1-4ce8-b777-44aa9fbdb24a___JR_B.Spot 3180.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\c63ff9c7-0422-4a71-8727-7c2581fdee6e___RS_Erly.B 9406.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\ebbd2311-713d-4179-a64f-7a862b710749___JR_B.Spot 8913.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\880150d7-bc9d-46bf-a91c-d7fcacbc1e50___JR_HL 5869.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\95f5cf16-3e2d-4b96-9f3d-732cf1c60d6e___RS_Erly.B 7564.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\4f539b76-13f8-43ab-a630-0cc6b1461bc9___JR_B.Spot 3381.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\08945f1c-9204-48d6-a5b4-bece52a18909___JR_HL 8056.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\a06cd500-b782-4be6-8f7a-377c9ed5ceab___RS_HL 9648.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\b8b9300b-f085-49ce-a052-5c003e493f7e___RS_Erly.B 7507.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\650a5f9b-7a57-46fd-a18a-844bb03bdf80___JR_HL 6013.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\fcc91cef-9892-4eb2-a3f0-36bdc4e11f59___JR_HL 7687.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\8b448aba-68ad-461d-a8f4-99c6ccee8fbe___RS_Erly.B 7463.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\933b7a1c-5015-48df-8c2d-b7fdf918a4db___GH_HL Leaf 490.1.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\927fa6d6-6d56-4035-af12-a915a50d86a2___JR_HL 8445.JPG,bellpepper,healthy,0
datasets\BellPepper_Healthy\f064af9b-a2db-499b-9731-a4078a10bf6a___JR_HL 8898.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\45a1e50e-e504-40a6-8378-39c28914ca43___GH_HL Leaf 448.1.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\f51330a5-e187-434f-add0-bd89f488eeee___RS_Erly.B 7699.JPG,tomato,earlyblight,1
datasets\BellPepper_BacterialSpot\121268d0-b5e9-452b-aa45-df90ddcc5ee5___JR_B.Spot 8876.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\61ec5d27-b456-4164-9bb2-71443e542775___JR_B.Spot 8843.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\e481606b-2d13-4965-9e0a-44f02a8fa701___JR_B.Spot 8833.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\502bbd0a-8c84-4723-8e16-446655d5563d___RS_HL 0423.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\d7b5cac3-8927-4de2-a1e5-cc44ccb15a32___NREC_B.Spot 1866.JPG,bellpepper,bacterialspot,1
datasets\Potato_EarlyBlight\20e451e3-74a4-4a5b-b11c-257506f13a8f___RS_Early.B 6984.JPG,potato,earlyblight,1
datasets\BellPepper_BacterialSpot\b3cb19d0-df9b-4705-ab26-40aafab8ecca___JR_B.Spot 3206.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\23e8ae15-6cfc-4518-9266-3a289a7bced7___RS_Erly.B 6479.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\fc896bf4-d52b-494e-ae5f-ab18d00f2cd7___JR_HL 8343.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\79b737a7-eca5-4eb9-b30e-dd3e85640e55___RS_Erly.B 9492.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\07c3c887-da7d-4c81-b6ae-fabd1fb0ba5a___RS_HL 9681.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\3af826c4-e8d8-472f-b4cf-d1a34bc2cd35___NREC_B.Spot 9051.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\71ab48ee-43f6-4ac2-b731-1bc6d4a8dfa4___JR_B.Spot 3146.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\ba89789a-d506-48d5-964b-41f5815d46b1___JR_B.Spot 3352.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_BacterialSpot\3ecf6ae1-56d9-47c0-bedb-af7954dbc3c6___JR_B.Spot 8953.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\6efab540-3bb1-47fd-b55f-ed447305f500___RS_Erly.B 7397.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\074bc781-f586-46b0-bef5-0237e3bf5043___RS_Erly.B 8375.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\d2bd1a33-3dfd-4314-b13a-2b53a96453a2___JR_HL 7657.JPG,bellpepper,healthy,0
datasets\Potato_EarlyBlight\283134dd-8b32-447e-8e82-547d3b69f4d4___RS_Early.B 7494.JPG,potato,earlyblight,1
datasets\Tomato_Healthy\77e04405-25a3-4be4-8fa8-60c73888eca6___RS_HL 0599.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\db858b36-753d-4f62-903b-07cbc2f59b15___JR_HL 8522.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\2e97e18f-8ae2-4d5d-b7fb-64baeead1ed4___GH_HL Leaf 221.1.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\176a9f0a-b815-4e4d-88d4-0960610f723b___NREC_B.Spot 1820.JPG,bellpepper,bacterialspot,1
datasets\BellPepper_Healthy\c17aac7c-7e5c-4d2c-8699-9d1185a33eeb___JR_HL 8047.JPG,bellpepper,healthy,0
datasets\BellPepper_BacterialSpot\65fc5138-b38a-42d6-a892-1441585ceebd___NREC_B.Spot 9057.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\9dcb8870-47cb-4816-bb88-a435b5844cf6___GH_HL Leaf 207.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\6595020a-7ea0-44e9-93e0-105d994c6505___JR_HL 7852.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\32065728-b0b0-4840-b2cc-7461b371e57f___RS_Erly.B 6407.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\9d85e353-73b4-4812-ac08-939be5d7b2c8___JR_HL 8851.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\a2da7455-c116-4d02-b506-89183f817d78___RS_Erly.B 9371.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\0576ef4b-c843-4dfb-b148-c917f7d605b7___GH_HL Leaf 299.JPG,tomato,healthy,0
datasets\Potato_EarlyBlight\232c8d25-3bfe-41ea-b24f-2b3629a0253a___RS_Early.B 9200.JPG,potato,earlyblight,1
datasets\BellPepper_BacterialSpot\0a9cfb27-280e-475a-bbb4-8eeaeff38b8c___NREC_B.Spot 9177.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\8c757ec5-a977-412f-bf8e-208fefc79063___RS_Erly.B 9504.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\c684e255-de5d-4905-b934-962180be33cb___RS_Erly.B 7353.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\71c4512d-05ba-456f-ba4e-f2861b7e7837___RS_HL 0390.JPG,tomato,healthy,0
datasets\Tomato_Healthy\5ecf00da-161c-4e2f-a525-b9223adce0b6___GH_HL Leaf 252.1.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\8f709c55-ee65-4bb0-9291-6d5d79033c3f___RS_Erly.B 9603.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\eb6f90f8-81d9-4bc0-852d-7777547fe3e7___JR_HL 8190.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\0a0d6a11-ddd6-4dac-8469-d5f65af5afca___RS_HL 0555.JPG,tomato,healthy,0
datasets\Tomato_Healthy\1af0bfe1-4bcf-4b8b-be66-5d0953eb647e___GH_HL Leaf 482.2.JPG,tomato,healthy,0
datasets\Potato_EarlyBlight\0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early.B 8504.JPG,potato,earlyblight,1
datasets\Tomato_Healthy\0a31e630-0d98-416b-b0e4-88a88aad1dc5___RS_HL 9653.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\90e48fa5-fa6d-4408-84db-cc5a53315b1f___JR_HL 7902.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\f26a0950-0a68-4850-8945-a8aca58da4fa___RS_Erly.B 7505.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\b88c6948-f061-45ac-9039-ea762f12e8a5___JR_HL 8597.JPG,bellpepper,healthy,0
